Fitness metrics: KappaLoss, CrossValidationLoss, Simplicity

Individual 104
Population size: 800
Generations: 200
Seed: 29
Max features: 60
Crossover probability: 0.9
Mutation probability: 1.0
Pool proportion (to population size): 0.5
Mean fitness values of each generation
[ 0.23000968  0.17457496 11.435     ]
[ 0.23012362  0.17497254 11.36375   ]
[ 0.22850416  0.173973   11.4       ]
[ 0.2288612   0.17437452 11.32      ]
[ 0.22796208  0.17376941 11.41      ]
[ 0.22187652  0.16985065 11.505     ]
[ 0.22213443  0.16981103 11.50375   ]
[ 0.2232502   0.17019537 11.4975    ]
[ 0.22279782  0.16982835 11.545     ]
[ 0.22281918  0.16981508 11.54875   ]
[ 0.22365249  0.1701902  11.5775    ]
[ 0.22391112  0.17103734 11.52875   ]
[ 0.22460419  0.1712587  11.51375   ]
[ 0.22476904  0.17095545 11.52875   ]
[ 0.22531668  0.17167077 11.40875   ]
[ 0.22445884  0.17136776 11.46625   ]
[ 0.22518426  0.1716488  11.3325    ]
[ 0.22554025  0.17186171 11.3225    ]
[ 0.2243735   0.17091983 11.47875   ]
[ 0.22399305  0.17146145 11.49125   ]
[ 0.22463421  0.17177879 11.3925    ]
[ 0.22431619  0.17197471 11.2875    ]
[ 0.22413451  0.17179517 11.3025    ]
[ 0.22405854  0.17177477 11.2775    ]
[ 0.22398824  0.17126382 11.27375   ]
[ 0.22438439  0.17142257 11.28375   ]
[ 0.2249118   0.17124476 11.28625   ]
[ 0.2256339   0.17157149 11.24      ]
[ 0.2257444   0.17190054 11.21625   ]
[ 0.22670415  0.17207451 11.11125   ]
[ 0.22703176  0.17266209 11.01375   ]
[ 0.22588465  0.17160549 11.07375   ]
[ 0.22668558  0.17188459 10.96625   ]
[ 0.22611496  0.17199789 11.00875   ]
[ 0.2267248   0.17190644 10.975     ]
[ 0.22629994  0.172063   10.94875   ]
[ 0.22565927  0.17152393 10.95625   ]
[ 0.22531679  0.17104043 10.98375   ]
[ 0.22574268  0.17119835 10.985     ]
[ 0.22511794  0.17123156 11.02125   ]
[ 0.2243148   0.17093164 11.1225    ]
[ 0.22388208  0.1708146  11.1475    ]
[ 0.22257173  0.16947183 11.20875   ]
[ 0.22259369  0.1690115  11.26125   ]
[ 0.22398364  0.16990613 11.19375   ]
[ 0.22444978  0.16996404 11.125     ]
[ 0.22467777  0.16993005 11.12125   ]
[ 0.22563826  0.1700331  11.02      ]
[ 0.22628506  0.17070499 10.96      ]
[ 0.22529493  0.17039596 11.01125   ]
[ 0.22539521  0.17104289 10.9375    ]
[ 0.22518167  0.17117882 10.9275    ]
[ 0.22537317  0.1716123  10.88625   ]
[ 0.22485286  0.17055308 10.9525    ]
[ 0.22464259  0.17059646 10.95375   ]
[ 0.22519985  0.17107376 10.92      ]
[ 0.22572842  0.17097558 10.8925    ]
[ 0.22576802  0.17082401 10.895     ]
[ 0.22596528  0.1711952  10.84375   ]
[ 0.22566886  0.17091767 10.865     ]
[ 0.22492921  0.17093281 10.89375   ]
[ 0.22505478  0.17070258 10.9025    ]
[ 0.22476068  0.17055746 10.90625   ]
[ 0.22604253  0.17045568 10.86125   ]
[ 0.22743863  0.17122255 10.82125   ]
[ 0.22688434  0.17105157 10.8675    ]



Individual 107
Population size: 800
Generations: 200
Seed: 29
Max features: 60
Crossover probability: 0.9
Mutation probability: 1.0
Pool proportion (to population size): 0.5
Mean fitness values of each generation
[ 0.65377778  0.44708986 30.5075    ]
[ 0.63819318  0.43413721 26.72625   ]
[ 0.62950904  0.42724266 24.04125   ]
[ 0.61932793  0.41932895 22.38875   ]
[ 0.61655518  0.41160211 20.5625    ]
[ 0.60152213  0.40200753 20.175     ]
[ 0.58728339  0.39134264 19.32625   ]
[ 0.58569297  0.38879873 18.22125   ]
[ 0.58759002  0.3866755  16.875     ]
[ 0.57385414  0.37606178 16.11375   ]
[ 0.55646869  0.3636328  16.62625   ]
[ 0.54189399  0.35166542 16.6575    ]
[ 0.53609296  0.34628244 15.94875   ]
[ 0.51954083  0.33437434 16.0475    ]
[ 0.50723017  0.32256233 15.85125   ]
[ 0.50610294  0.32150661 15.1325    ]
[ 0.49434391  0.31165442 15.10875   ]
[ 0.48199996  0.30267583 15.10125   ]
[ 0.47406018  0.2959968  15.0525    ]
[ 0.47056498  0.29269097 14.89      ]
[ 0.46810978  0.28938033 14.59      ]
[ 0.45501513  0.28081955 14.84125   ]
[ 0.45313894  0.27772476 14.41375   ]
[ 0.44506794  0.27144072 14.18875   ]
[ 0.44645509  0.27088889 13.77125   ]
[ 0.44182188  0.26670492 13.5925    ]
[ 0.4355558   0.26082873 13.7975    ]
[ 0.43252841  0.25881697 13.5975    ]
[ 0.42787446  0.25574839 13.545     ]
[ 0.42493454  0.25360296 13.275     ]
[ 0.41904809  0.24851199 13.65875   ]
[ 0.41245458  0.24531018 13.825     ]
[ 0.40561814  0.242516   14.075     ]
[ 0.39884761  0.23927701 14.25125   ]
[ 0.39063217  0.23472518 14.4225    ]
[ 0.39318874  0.23516121 14.32      ]
[ 0.39333494  0.23522835 13.96875   ]
[ 0.38896689  0.23358221 14.1025    ]
[ 0.38877306  0.23362056 14.00375   ]
[ 0.38426543  0.23204152 14.26      ]
[ 0.37700311  0.2274966  14.575     ]
[ 0.3762828   0.22807582 14.65625   ]
[ 0.37257924  0.22556827 14.67125   ]
[ 0.36911786  0.22317407 14.9075    ]
[ 0.36721969  0.22177851 14.85      ]
[ 0.36416437  0.21962618 14.8325    ]
[ 0.3611197   0.21738763 15.115     ]
[ 0.35832331  0.21555063 15.0375    ]
[ 0.35553713  0.21282656 15.4       ]
[ 0.35400883  0.21031014 15.495     ]
[ 0.35421729  0.21052828 15.34125   ]
[ 0.35294378  0.20955343 14.95875   ]
[ 0.35027125  0.20812215 15.15625   ]
[ 0.34749615  0.20555534 15.1725    ]
[ 0.34707116  0.20466389 15.2075    ]
[ 0.34602783  0.20368554 15.175     ]
[ 0.34587557  0.20348641 14.96625   ]
[ 0.34398854  0.20151496 15.0125    ]
[ 0.34391202  0.20182379 14.8975    ]
[ 0.3402237   0.19965384 15.05125   ]
[ 0.33861504  0.19897398 15.19875   ]
[ 0.33675002  0.19762095 15.40125   ]
[ 0.33742376  0.19724087 15.32375   ]
[ 0.33646504  0.19628197 15.3225    ]
[ 0.3338378   0.19409026 15.52125   ]
[ 0.3309443   0.19116416 15.515     ]
[ 0.32501947  0.18782328 15.57625   ]
[ 0.32360486  0.18767387 15.34875   ]
[ 0.32286812  0.18658475 15.35125   ]
[ 0.32203751  0.18585631 15.3925    ]
[ 0.320841    0.18563867 15.34      ]
[ 0.32021411  0.18421499 15.4275    ]
[ 0.32073095  0.18431044 15.325     ]
[ 0.32030983  0.18402793 15.2425    ]
[ 0.32005623  0.18496855 14.97875   ]
[ 0.31947303  0.18522811 15.03125   ]
[ 0.31912647  0.18538616 14.8325    ]
[ 0.31891057  0.18365431 14.89      ]
[ 0.31935508  0.18368592 14.86375   ]
[ 0.31890335  0.18435926 14.60625   ]
[ 0.31396519  0.18173692 14.93125   ]
[ 0.31400956  0.18165196 14.9025    ]
[ 0.31317269  0.18070893 14.98      ]
[ 0.31324672  0.18020856 14.95125   ]
[ 0.31299281  0.18030903 14.865     ]
[ 0.31191339  0.18018415 14.84      ]
[ 0.31163982  0.1798637  14.85875   ]
[ 0.31214707  0.17949052 14.795     ]
[ 0.31236712  0.18034579 14.65125   ]
[ 0.31174573  0.17951562 14.6675    ]
[ 0.31124181  0.17804359 14.77125   ]
[ 0.3100234   0.17628224 14.74125   ]
[ 0.3114167   0.17677443 14.71125   ]
[ 0.30956894  0.17637964 14.82125   ]
[ 0.30983139  0.17644592 14.80875   ]
[ 0.30952794  0.17717866 14.645     ]
[ 0.30763559  0.1758696  14.75375   ]
[ 0.30626906  0.17501329 14.8025    ]
[ 0.30487302  0.17375236 14.8875    ]
[ 0.30589342  0.1737358  14.78      ]
[ 0.30629179  0.17373608 14.67125   ]
[ 0.30659717  0.17350538 14.60875   ]
[ 0.30688198  0.17296238 14.48125   ]
[ 0.30505171  0.17224572 14.565     ]
[ 0.30495744  0.17200795 14.57      ]
[ 0.30390364  0.17229295 14.5775    ]
[ 0.30293467  0.17163701 14.62875   ]
[ 0.30094667  0.1702706  14.7525    ]
[ 0.29520803  0.16605311 14.895     ]
[ 0.29864919  0.16837095 14.525     ]
[ 0.29730135  0.16724856 14.44      ]
[ 0.30012571  0.16898834 14.245     ]
[ 0.30003468  0.16936957 14.18375   ]
[ 0.30141516  0.16975799 14.15875   ]
[ 0.2999425   0.16889997 14.22375   ]
[ 0.30143513  0.16954192 14.04875   ]
[ 0.30141958  0.1690867  13.9525    ]
[ 0.30165204  0.16908019 13.95625   ]
[ 0.30125505  0.16880347 13.93      ]
[ 0.29959513  0.16775009 14.0825    ]
[ 0.29850962  0.16629774 14.175     ]
[ 0.30089728  0.16734995 14.06875   ]
[ 0.30135255  0.16842994 14.00625   ]
[ 0.29929739  0.16668123 14.16875   ]
[ 0.29680781  0.16514612 14.1725    ]
[ 0.29727025  0.16489598 14.15875   ]
[ 0.29817829  0.16535964 14.11875   ]
[ 0.29673846  0.16423967 14.18375   ]
[ 0.29573981  0.16349857 14.2875    ]
[ 0.30011452  0.1665298  13.83375   ]
[ 0.29904668  0.16566948 13.975     ]
[ 0.29905408  0.16561741 13.8725    ]
[ 0.2986648   0.16562882 13.8275    ]
[ 0.29851856  0.16581546 13.74375   ]
[ 0.29876205  0.16603802 13.745     ]
[ 0.29707505  0.16471228 13.70625   ]
[ 0.29618273  0.16417676 13.805     ]
[ 0.29807901  0.16623228 13.6725    ]
[ 0.29897411  0.16618519 13.6425    ]
[ 0.29967801  0.16702855 13.565     ]
[ 0.29899383  0.16690907 13.58625   ]
[ 0.29879736  0.16637588 13.585     ]
[ 0.29738704  0.16550997 13.6125    ]
[ 0.29454826  0.16311091 13.75625   ]
[ 0.29683827  0.16469792 13.68      ]
[ 0.29685734  0.16508463 13.64375   ]
[ 0.29586851  0.16434523 13.64      ]
[ 0.29513082  0.16340291 13.67375   ]
[ 0.29470915  0.16322088 13.69125   ]
[ 0.29498551  0.16360443 13.78125   ]
[ 0.29464217  0.16326384 13.825     ]
[ 0.29499875  0.16374695 13.85125   ]
[ 0.29318219  0.16294275 14.04375   ]
[ 0.29427542  0.16334769 13.8925    ]
[ 0.29383721  0.16352582 13.87      ]
[ 0.29365424  0.16349217 13.97      ]
[ 0.2941464   0.16336709 13.88125   ]
[ 0.29297892  0.16260419 13.9475    ]
[ 0.2929492   0.16241907 13.97125   ]
[ 0.29067628  0.16124897 14.0825    ]
[ 0.2898197   0.16068904 14.07125   ]
[ 0.28970448  0.16132896 14.01      ]
[ 0.29027424  0.16122716 14.02625   ]
[ 0.29012656  0.16134182 14.02125   ]
[ 0.29056899  0.16157074 14.03      ]
[ 0.2914317   0.16194777 13.88875   ]
[ 0.29558717  0.16449933 13.55      ]
[ 0.29569336  0.1638681  13.5575    ]
[ 0.29666702  0.16446181 13.55125   ]
[ 0.29722509  0.16427325 13.46      ]
[ 0.29414677  0.16199396 13.54375   ]
[ 0.29410547  0.1620117  13.525     ]
[ 0.29367572  0.16147668 13.57875   ]
[ 0.29381341  0.1616657  13.54      ]
[ 0.29204527  0.16082485 13.595     ]
[ 0.29156327  0.16056444 13.6225    ]
[ 0.29231405  0.1611831  13.65      ]
[ 0.29148657  0.16103061 13.735     ]
[ 0.29011474  0.15980735 13.76875   ]
[ 0.28988352  0.15971734 13.765     ]
[ 0.2931777   0.16136714 13.50875   ]
[ 0.29547238  0.16237805 13.3025    ]
[ 0.29518677  0.1621105  13.33      ]
[ 0.29513794  0.16163872 13.3175    ]
[ 0.29352603  0.16021489 13.37      ]
[ 0.29143709  0.15904556 13.395     ]
[ 0.29131348  0.15869494 13.40875   ]
[ 0.29125183  0.15867332 13.42      ]
[ 0.29036488  0.15876991 13.43625   ]
[ 0.28987938  0.15830804 13.4525    ]
[ 0.29015391  0.15849354 13.4525    ]
[ 0.2905626   0.15848409 13.41625   ]
[ 0.28973357  0.15807578 13.55      ]
[ 0.28984937  0.1577891  13.5075    ]
[ 0.29336349  0.1596545  13.24875   ]
[ 0.29086547  0.15873399 13.24625   ]
[ 0.29080242  0.15883922 13.22375   ]
[ 0.29113085  0.15901163 13.17875   ]
[ 0.29083613  0.1588583  13.22      ]
[ 0.29268843  0.16093374 13.1025    ]
[ 0.29269112  0.16109451 13.105     ]



Individual 110
Population size: 800
Generations: 200
Seed: 29
Max features: 60
Crossover probability: 0.9
Mutation probability: 1.0
Pool proportion (to population size): 0.5
Mean fitness values of each generation
[ 0.68634627  0.44059663 30.5075    ]
[ 0.66889437  0.42880714 26.67      ]
[ 0.64986046  0.41609226 25.58625   ]
[ 0.64276302  0.41071587 23.05125   ]
[ 0.63354795  0.40457837 21.4175    ]
[ 0.62911945  0.40121944 19.49125   ]
[ 0.61192317  0.38989623 18.60875   ]
[ 0.59213954  0.37945952 18.06125   ]
[ 0.58221147  0.37553849 17.02      ]
[ 0.57079647  0.3675504  16.24875   ]
[ 0.55566714  0.36075754 15.705     ]
[ 0.54478305  0.35518036 15.72875   ]
[ 0.53718034  0.34632202 15.3025    ]
[ 0.53102923  0.34474544 14.6325    ]
[ 0.51718744  0.33574187 14.91125   ]
[ 0.50114393  0.32420675 14.78      ]
[ 0.48860395  0.31829901 14.41875   ]
[ 0.4826806   0.31553512 14.40625   ]
[ 0.4667565   0.30545179 14.65375   ]
[ 0.4621728   0.30157956 14.49875   ]
[ 0.45754593  0.29806687 14.2725    ]
[ 0.45378214  0.29410754 13.9625    ]
[ 0.44541614  0.28866508 14.16125   ]
[ 0.44067635  0.28495099 14.03125   ]
[ 0.44039529  0.28534286 13.41875   ]
[ 0.43325072  0.28120258 13.78      ]
[ 0.42776743  0.27776687 13.61625   ]
[ 0.41915457  0.27116508 13.91125   ]
[ 0.41115746  0.26472083 14.045     ]
[ 0.41035497  0.26377183 13.9925    ]
[ 0.41129871  0.2645006  13.495     ]
[ 0.40931947  0.26216071 13.40125   ]
